category,goal,pledged,funded,blurb_adj,blurb_noun,blurb_verb,blurb_total,full_adj,full_noun,full_verb,full_total,train
Film & Video,1500,41,FALSE,0.08,0.12,0.2,25,0.061403509,0.122807018,0.228070175,114,0
Publishing,3000,5,FALSE,0.035714286,0.178571429,0.178571429,28,0.066419295,0.184415584,0.185528757,2695,0
Fashion,7000,1182,FALSE,0.045454545,0.272727273,0.181818182,22,0.084668192,0.226544622,0.194508009,437,1
Design,40000,946,FALSE,0,0.173913043,0.217391304,23,0.073555166,0.15061296,0.210157618,571,1
Technology,50000,54,FALSE,0.130434783,0.043478261,0.173913043,23,0.075591985,0.140255009,0.12568306,1098,0
Publishing,490,185,FALSE,0.047619048,0.19047619,0.19047619,21,0.047377327,0.157360406,0.175972927,591,0
Music,10000,10268.25,TRUE,0,0.08,0.12,25,0.061313869,0.166423358,0.17080292,685,1
Technology,3300,4048,TRUE,0.173913043,0.086956522,0.217391304,23,0.084245077,0.157549234,0.177242888,914,1
Publishing,5000,1206,FALSE,0.08,0.24,0.16,25,0.043859649,0.144736842,0.206140351,228,1
Film & Video,17500,23218,TRUE,0.19047619,0.238095238,0.047619048,21,0.086666667,0.142857143,0.146666667,1050,0
Film & Video,50000,700,FALSE,0.2,0.25,0.1,20,0.082452431,0.152219873,0.126849894,473,0
Design,35000,1733,FALSE,0,0.19047619,0.19047619,21,0.098214286,0.178571429,0.180803571,448,1
Music,2000,0,FALSE,0.086956522,0.217391304,0.173913043,23,0.108527132,0.201550388,0.147286822,129,0
Film & Video,2000,450,FALSE,0.041666667,0.083333333,0.041666667,24,0.076219512,0.125,0.155487805,328,0
Crafts,2100,2127,TRUE,0.153846154,0.307692308,0.230769231,13,0.068396226,0.141509434,0.20990566,424,1
Food,1500,50,FALSE,0.1,0.05,0.1,20,0.049019608,0.117647059,0.147058824,102,0
Art,25000,320,FALSE,0,0,0.272727273,22,0.037671233,0.109589041,0.133561644,292,1
Technology,45000,3,FALSE,0.076923077,0.192307692,0.115384615,26,0.07133758,0.132484076,0.12866242,785,1
Fashion,500,118,FALSE,0,0.222222222,0.222222222,9,0.063752277,0.153005464,0.174863388,549,0
Publishing,4124,3610,FALSE,0.08,0.2,0.24,25,0.09512761,0.145011601,0.189095128,862,0
Games,80000,4213,FALSE,0,0,0.285714286,7,0.073170732,0.147560976,0.165853659,820,1
Games,200000,285,FALSE,0,0.136363636,0.181818182,22,0.102177554,0.155778894,0.149078727,597,0
Food,5000,0,FALSE,0.176470588,0.235294118,0.058823529,17,0.096774194,0.185483871,0.14516129,124,0
